,sy2010sthdH,sy2010sthdHNC,sy2010sthdW,sy2011sthdH,sy2011sthdHNC,sy2011sthdW,sy2012sthdH,sy2012sthdHNC,sy2012sthdW,sy2013sthdH,sy2013sthdHNC,sy2013sthdW,sy2014sthdH,sy2014sthdHNC,sy2014sthdW,sy2015sthdH,sy2015sthdHNC,sy2015sthdW,sy2010chnkH,sy2010chnkHNC,sy2010chnkW,sy2011chnkH,sy2011chnkHNC,sy2011chnkW,sy2012chnkH,sy2012chnkHNC,sy2012chnkW,sy2013chnkH,sy2013chnkHNC,sy2013chnkW,sy2014chnkH,sy2014chnkHNC,sy2014chnkW,sy2015chnkH,sy2015chnkHNC,sy2015chnkW
37,248675,32670,42037,142183,20976,45137,131104,9930,39286,77123,9099,22964,75504,6940,25710,110874,9357,45360,100916,6423,27345,101839,5657,27097,59132,4382,21257,44752,6574,19640,74916,9989,29768,98175,10293,23964
38,247989,32857,42537,141461,22230,44605,131665,9680,38975,77532,8656,22998,76178,6585,25391,110798,9567,45226,100742,7218,26725,102777,5230,26587,58188,4808,21775,45317,6355,19294,73972,10457,30244,99341,10190,22901
39,247430,32626,43326,143278,21866,43152,130414,9950,39956,77692,8746,22748,76166,6685,25303,111121,9018,45452,100374,6800,27510,102454,5612,26528,58825,4641,21305,45805,6228,18933,73547,10188,30938,98437,10283,23712
40,248152,32857,42373,140928,22694,44674,131050,10114,39156,77260,8714,23212,76129,6844,25181,111262,8847,45482,99543,7756,27385,102668,5400,26526,58685,4782,21305,44915,6708,19343,73343,10554,30777,98936,9947,23550
41,247493,33130,42759,143024,21759,43514,131030,10517,38774,77037,8778,23371,76113,7276,24764,111223,9206,45162,99477,6761,28447,102431,5826,26337,58397,4397,21977,45304,6299,19363,73702,10076,30895,98847,10081,23504
42,247479,33584,42319,142794,22088,43415,131029,9706,39585,77078,9268,22840,76218,7028,24909,110674,8703,46214,98004,7911,28770,102622,5244,26728,58333,4675,21762,45610,5983,19373,74242,10254,30177,98801,10025,23606
43,247575,32796,43011,142641,21229,44426,129873,9934,40513,77256,8390,23541,75622,6778,25754,109346,9313,46932,100427,6379,27878,101855,6000,26739,58760,4773,21237,45068,6283,19615,74468,10268,29937,99469,10019,22944
44,248971,32429,41981,141588,21886,44821,132133,9930,38257,78301,8473,22412,76015,6777,25362,111208,9679,44704,100349,7169,27166,102080,5713,26800,58808,4529,21433,45405,6465,19096,73934,10633,30106,98773,10332,23328
45,249208,32485,41690,142768,21286,44241,130028,10593,39699,77606,8954,22626,77905,6240,24009,112033,9198,44360,99613,7336,27735,102563,4975,27057,58820,4457,21494,45983,6179,18804,73903,10248,30521,99776,9433,23223
46,247167,33627,42588,142998,21889,43409,129698,10401,40221,76927,8866,23392,75078,6825,26251,110137,9579,45875,100565,6854,27266,102845,5141,26607,58952,4450,21369,45699,6497,18770,74608,9995,30069,99158,9368,23906
47,246518,32881,43983,141861,22082,44353,130859,9885,39576,76879,8850,23457,76023,7013,25117,110724,9396,45470,99582,7152,27951,102514,5153,26927,58469,4930,21372,45002,6917,19048,74048,10030,30595,98727,10003,23702
48,246596,33440,43345,142605,22258,43433,131084,9837,39399,76789,8656,23741,75763,6723,25668,110232,9311,46047,99562,6337,28785,102663,6044,25887,59030,4938,20803,45676,6235,19055,74770,10148,29755,98988,10035,23409
49,248675,32276,42431,142948,21242,44105,129826,9804,40690,77783,8825,22578,76486,6771,24896,111260,9243,45089,99950,6347,28387,101733,5592,27268,58773,4777,21221,45412,6019,19535,74015,10152,30506,97822,10286,24324
50,246443,33958,42981,141341,22442,44513,131640,9846,38834,76996,8926,23264,75364,7097,25692,110473,9393,45725,100536,6679,27469,102433,5726,26435,58078,4421,22271,45823,6038,19105,73529,10221,30924,98714,10181,23537
51,246696,32960,43725,141937,21731,44628,130950,10057,39313,76919,8922,23344,76758,6843,24553,109542,9199,46850,100255,6985,27443,102534,5541,26519,58432,4738,21601,44703,6358,19905,74202,10373,30097,98632,10031,23769
